timestamp,alarm_id,severity,equipment_type,equipment_id,site_name,alarm_code,alarm_description,recommended_action,resolution_status
2024-01-29T09:15:23,ALM-2024-001,CRITICAL,gNB,gNB001,Site_Mumbai_Central,VSWR_HIGH,"VSWR High (2.8:1) on Antenna Port 1","1. Check connector tightness at RRU and antenna. 2. Inspect for water damage using moisture indicators. 3. Perform line sweep test with site analyzer. 4. Check for cable kinks or damage. 5. Verify antenna grounding.",OPEN
2024-01-29T09:22:45,ALM-2024-002,MAJOR,RRU,RRU001-A,Site_Mumbai_Central,PA_TEMP_HIGH,"Power Amplifier Temperature High (78°C)","1. Check cooling fans are operational. 2. Verify ambient temperature at site. 3. Clean dust filters. 4. Check for blocked ventilation. 5. If persists, consider load reduction.",ACKNOWLEDGED
2024-01-29T09:45:12,ALM-2024-003,WARNING,TRANSPORT,FH001,Site_Delhi_CBD,FRONTHAUL_LATENCY,"Fronthaul Latency Exceeded Threshold (150us)","1. Check fiber integrity. 2. Verify switch port utilization. 3. Check for packet drops on transport. 4. Consider traffic prioritization adjustment.",OPEN
2024-01-29T10:02:34,ALM-2024-004,CRITICAL,gNB,gNB002,Site_Delhi_CBD,CELL_UNAVAILABLE,"Cell gNB002-CELL3 Unavailable","1. Check power supply status. 2. Verify baseband unit connectivity. 3. Check for hardware faults. 4. Review O&M logs for root cause. 5. Escalate if hardware failure suspected.",OPEN
2024-01-29T10:18:56,ALM-2024-005,MINOR,ANTENNA,ANT003-A,Site_Bangalore_IT,TILT_MISMATCH,"Antenna Electrical Tilt Mismatch (Configured: 6°, Actual: 8°)","1. Verify remote electrical tilt (RET) motor status. 2. Check RET control cable. 3. Re-calibrate antenna tilt. 4. If motor faulty, schedule site visit.",CLEARED
2024-01-29T10:25:18,ALM-2024-006,MAJOR,CORE,AMF001,Core_DC1,REGISTRATION_FAILURE,"High Registration Failure Rate (5.2%)","1. Check UDM connectivity. 2. Verify AUSF authentication status. 3. Review AMF logs for rejection reasons. 4. Check subscriber profile consistency. 5. Verify HSS/UDR synchronization.",OPEN
2024-01-29T10:33:42,ALM-2024-007,WARNING,TRANSPORT,XN001,Site_Mumbai_Central,XN_LINK_DEGRADED,"Xn Interface Link Degraded (Packet Loss: 0.5%)","1. Check fiber/cable integrity on Xn link. 2. Verify router/switch interface status. 3. Check for CRC errors. 4. Review traffic patterns for congestion.",ACKNOWLEDGED
2024-01-29T10:41:09,ALM-2024-008,CRITICAL,BBU,BBU002,Site_Delhi_CBD,SYNC_LOST,"Primary Timing Reference Lost","1. Check GPS antenna and cable. 2. Verify primary sync source availability. 3. Switch to backup sync source if available. 4. Check IEEE 1588 PTP configuration. 5. Escalate to transport team.",OPEN
2024-01-29T10:52:33,ALM-2024-009,MINOR,SOFTWARE,gNB003,Site_Bangalore_IT,LICENSE_EXPIRING,"Feature License Expiring in 30 days (MU-MIMO)","1. Review license utilization. 2. Contact vendor for renewal quote. 3. Plan license renewal or feature deactivation. 4. Update license budget.",OPEN
2024-01-29T11:05:17,ALM-2024-010,MAJOR,POWER,PWR001,Site_Mumbai_Central,BATTERY_LOW,"Battery Backup Level Low (42%)","1. Check mains power availability. 2. Verify rectifier operation. 3. Check battery health/age. 4. Plan battery replacement if degraded. 5. Consider generator deployment for extended outage.",ACKNOWLEDGED
